name,state,population 2019
Alaska,AK,731545
Alabama,AL,4903185
Arkansas,AR,3017804
Arizona,AZ,7278717
California,CA,39512223
Colorado,CO,5758736
Connecticut,CT,3565287
District of Columbia,DC,705749
Delaware,DE,973764
Florida,FL,21477737
Georgia,GA,10617423
Hawaii,HI,1415872
Iowa,IA,3155070
Idaho,ID,1787065
Illinois,IL,12671821
Indiana,IN,6732219
Kansas,KS,2913314
Kentucky,KY,4467673
Louisiana,LA,4648794
Massachusetts,MA,6892503
Maryland,MD,6045680
Maine,ME,1344212
Michigan,MI,9986857
Minnesota,MN,5639632
Missouri,MO,6137428
Mississippi,MS,2976149
Montana,MT,1068778
North Carolina,NC,10488084
North Dakota,ND,762062
Nebraska,NE,1934408
New Hampshire,NH,1359711
New Jersey,NJ,8882190
New Mexico,NM,2096829
Nevada,NV,3080156
New York,NY,19453561
Ohio,OH,11689100
Oklahoma,OK,3956971
Oregon,OR,4217737
Pennsylvania,PA,12801989
Rhode Island,RI,1059361
South Carolina,SC,5148714
South Dakota,SD,884659
Tennessee,TN,6829174
Texas,TX,28995881
Utah,UT,3205958
Virginia,VA,8535519
Vermont,VT,623989
Washington,WA,7614893
Wisconsin,WI,5822434
West Virginia,WV,1792147
Wyoming,WY,578759